1,Ace Hardware,ACES.JK,13,,,,
2,"CMA CGM America, Inc.",CMA,13,,,,
3,"Cost Plus, Inc.",CPWM,13,parent,Bed Batch Beyond,,CPWM defunkt
4,CP&O LLC,CCL,13,,,,
5,"Dollar Tree Distribution, Inc.",DLTR,13,,,,
6,Maersk Line Limited,AMKBY,13,,,,
7,Navy Exchange Services Command,N/A,13,,,,
8,"QVC. Suffolk, Inc.",QVCC,13,,,,
9,Target Corporation,TGT,13,,,,
10,Zim American Integrated Shipping,ZIMCF,13,,,,
11,"Advanced Data Processing, Inc",ADP,14,,,,
12,"Anthem, Inc.",ANTM,14,,,,
13,Atlantic Bay Mortgage Group,N/A,14,,,,
14,Bank of America,BAC,14,,,,
15,Capital One,COF,14,,,,
16,"Dollar Tree Management, Inc",DLTR,14,,,,
17,Ferguson Enterprises,FERGY,14,,,,
18,Geico,N/A,14,,,,
19,"PRA Group, Inc.",PRAA,14,,,,
20,New York Times Shared Services,N/A,14,,,,
21,"Bauer Compressors, Inc.",N/A,15,,,,
22,"Canon Virginia, Inc.",CAJ,15,,,,
23,General Dynamics,GD,15,,,,
24,Howmet Aerospace,HWM,15,,,,
25,Huntington Ingalls Industries,HII,15,,,,
26,Liebherr Mining Equipment Co.,N/A,15,,,,
27,"Measurement Specialties, Inc.",MEAS,15,,TEL,Defunkt,
28,"STIHL, Inc.",N/A,15,,,,
29,Sumitomo Drive Technologies,N/A,15,,,,
30,Anheuser-Busch InBev,BUD,16,,,,
31,Birdsong Peanuts Corporation,N/A,16,,,,
32,"High Liner Foods, Inc.",HLNFF,16,,,,
33,Keurig Dr Pepper,KDP,16,,,,
34,Kraft/Heinz Company,KHC,16,,,,
35,La Tienda Specialty Foods,N/A,16,,,,
36,Marva Maid,N/A,16,,,,
37,"Massimo Zanetti Beverages, USA",MZB,16,,,,
38,Unilever / Lipton,UNLVF,16,,,,
39,Booze Allen Hamilton,BAH,17,,,,
40,CACI,CACI,17,,,,
41,General Dynamics,GD,17,,,,
42,Lockheed Martin,LMT,17,,,,
43,Northrop Grumman,NOC,17,,,,
44,Raytheon,RTX,17,,,,
45,SAIC,SECFF,17,,,,
46,"Serco, Inc.",N/A,17,,,,
47,Valkyrie Enterprises,HII,17,,,,
48,WR Systems,N/A,17,,,,
49,Huntington Ingalls Industries / Newport News Shipbuilding,N/A,18,,,,
50,Naval Station Norfolk,N/A,18,,,,
51,Norfolk Naval Shipyard,N/A,18,,,,
52,Port of Virginia,N/A,18,,,,
